,"""Agents of S.H.I.E.L.D.""",In Your Eyes,Much Ado About Nothing,The Cabin in the Woods,"""Dollhouse""","""Dr. Horrible's Sing-Along Blog""","""Angel""","""Firefly""","""Buffy the Vampire Slayer"""
"Strauss, Natalie",0,0,0,0,0,0,0,0,1
"Vilasuso, Jordi",0,0,0,0,0,0,0,0,1
"Halford, Charles",1,0,0,0,0,0,0,0,0
"Ling, Bai",0,0,0,0,0,0,1,0,0
"White, Geordie",0,0,0,0,0,0,0,0,1
"Jewell, Linda (III)",0,0,0,0,0,0,1,0,0
"Thaddeus, John",0,0,0,0,0,0,0,1,0
"Henry, David (XXI)",1,0,0,0,0,0,0,0,0
"Shaw, Kyle (II)",0,0,0,0,1,0,0,0,0
"Marnhout, Heidi",0,0,0,0,0,0,1,0,0
"Hines, Terence Bernie",0,0,0,0,0,0,0,0,1
"Riley, William (X)",0,0,0,0,0,0,0,0,1
"Silberhartz, Jamie",0,0,0,0,1,0,0,0,0
"Reeve, Devin (I)",0,0,0,0,0,0,0,0,1
"Kranzler, Zachary",0,0,0,0,0,0,0,1,0
"Harvie, Ellie",0,0,0,1,0,0,0,0,0
"Galden, Darianne",0,0,0,0,0,0,0,0,1
"Leary, James C.",0,0,0,0,0,0,0,0,1
"Imhoff, Gary",0,0,0,0,0,0,0,0,1
"Campbell, Keith (I)",0,0,0,0,0,0,1,0,1
"Martinez, Marco Antonio (I)",1,0,0,0,0,0,0,0,0
"Sky, Jennifer",0,0,0,0,0,0,0,0,1
"Williams, Aimee (II)",0,0,1,0,0,0,0,0,0
"Haworth, Jennifer",0,0,0,0,0,0,1,0,0
"Gardner, Raquel",1,0,0,0,0,0,0,0,0
"Terrell, Felisha",1,0,0,0,0,0,0,0,0
"Kubr, Mark",0,0,0,0,1,0,0,0,0
"Savage, Susan (I)",0,0,0,0,0,0,1,0,0
"Todd, Tony (I)",0,0,0,0,0,0,1,0,0
"Mitchell, Wayne (II)",0,0,0,0,0,0,1,0,0
"Herman, David (I)",0,0,0,0,0,0,1,0,0
"Gracer, Nick",1,0,0,0,0,0,0,0,0
"Forward, William (I)",0,0,0,0,0,0,0,0,1
"Hagen, Daniel (I)",0,0,0,0,0,0,0,0,1
"Behr, Aaron (I)",1,0,0,0,0,0,0,0,0
"Mora, Danny",0,0,0,0,0,0,1,0,0
"McDancer, Buck",0,0,0,0,0,0,1,0,0
"Thorpe, Bill (I)",0,1,0,0,0,0,0,0,0
"Grey, Elliott",0,0,0,0,0,0,1,0,0
"Knadjian, Paren",0,0,1,0,0,0,0,0,0
"Francis, Ryan (I)",0,0,0,0,0,0,0,0,1
"Palmer, Andrew (II)",0,0,0,0,0,0,0,0,1
"Kelly, Mia (II)",0,0,0,0,0,0,1,0,0
"Shapiro, Sascha",0,0,0,0,0,0,1,0,0
"Irwin, Lance",1,0,0,0,0,0,0,0,0
"Moore, Joy Demichelle",0,0,0,0,0,0,0,0,1
"Spears, Aaron D.",0,0,0,0,0,0,1,0,0
"Dudley, Darius (I)",0,0,0,0,0,0,0,0,1
"Stahelski, Chad",0,0,0,0,0,0,0,0,1
"Tishler, Adair",0,0,0,0,1,0,0,0,0
"Bentley, John Eric",0,0,0,0,0,0,0,1,0
"Griesse, Ben",1,0,0,0,0,0,0,0,0
"Budd, Susan",0,0,1,0,0,0,0,0,0
"Torres, Gina (I)",0,0,0,0,0,0,1,1,0
"Pruitt, Jeff",0,0,0,0,0,0,0,0,1
"Sbarge, Raphael",0,0,0,0,1,0,0,0,0
"Comer, Kate",0,0,0,0,1,0,0,0,0
"Latzer, Josh",0,0,0,0,1,0,0,0,0
"Towne, Katharine",0,0,0,0,0,0,0,0,1
"Wagner, Brett (I)",0,0,0,0,0,0,1,0,1
"Harris, Jamie (I)",1,0,0,0,0,0,0,0,0
"Arenberg, Lee",0,0,0,0,0,0,1,0,0
"Johnson, Mulu",0,0,1,0,0,0,0,0,0
"Davalos, Alexa",0,0,0,0,0,0,1,0,0
"Courtney, James Jude",0,0,0,0,0,0,0,0,1
"Rosvall, Henrik",0,0,0,0,0,0,0,0,1
"Petrie, Douglas (I)",0,0,0,0,0,1,0,0,0
"Austin, Cas",0,0,1,0,0,0,0,0,0
"Northcutt, Dane",0,0,0,0,0,0,1,0,0
"Ruehl, Franklin",0,0,0,0,1,0,0,0,0
"Lambert, Jerry (II)",0,0,0,0,0,0,1,0,0
"Biscardi, Jessica",0,0,0,0,0,0,0,0,1
"Guidera, Anthony",0,0,0,0,0,0,1,0,0
"O'Brien, Mariah",0,0,0,0,0,0,0,0,1
"Butler, Nicole J.",1,0,0,0,0,0,0,0,0
"Russell, Heath",0,0,0,0,0,0,0,1,0
"Esformes, Jack (I)",0,0,0,0,0,0,0,0,1
"Comes, Christopher",0,0,0,0,0,0,1,0,0
"Abraham, Ken (I)",0,0,0,0,0,0,1,0,0
"Ricardo, Danny",0,0,0,0,0,0,1,0,0
"Crawford, Daz",1,0,0,0,0,0,0,0,0
Arif (VI),0,0,0,0,0,0,0,0,1
"Tallman, Chris",0,0,0,0,0,0,1,0,0
"Arce, Robert",0,0,0,0,0,0,0,0,1
"Bergman, Jaime",0,0,0,0,0,0,1,0,0
"Acevedo, Kirk",1,0,0,0,0,0,0,0,0
"Price, R.D.",0,0,0,0,0,0,0,0,1
"Ceraulo, Rich",1,0,0,0,0,0,0,0,0
"Sabongui, Patrick",0,0,0,1,0,0,0,0,0
"Chauncey, Chris",0,0,0,0,0,0,0,0,1
"Manea, Alexandra",1,0,0,0,0,0,0,0,0
"Piddock, Jim",0,0,0,0,1,0,1,0,0
"Lang, Joy",0,0,0,0,0,0,1,0,0
"Jacobson, Josh (I)",0,0,0,0,0,0,0,0,1
"Gregg, Clark",1,0,1,0,0,0,0,0,0
"Alexander, Alex (II)",0,0,0,0,0,0,1,0,0
"Mooney, Keith",0,0,0,0,0,0,0,1,0
"Jones, Jeannette McNeil",0,0,1,0,0,0,0,0,0
"Penn, Kal",0,0,0,0,0,0,1,0,1
"Young, Sean P.",0,0,0,0,0,0,1,0,0
"Maffia, Robert (I)",1,0,0,0,0,0,0,0,0
"Garcia, Kyla",1,0,0,0,0,0,0,0,0
"Crawford Brown, Pat",0,0,0,0,0,0,0,0,1
"Veal, Benz",0,1,0,0,0,0,0,0,0
"Ortlieb, Jim",0,0,0,0,0,0,1,0,0
"Brannagh, Brigid",0,0,0,0,0,0,1,0,0
"Edwards, Charles (VI)",0,0,1,0,0,0,0,0,0
"Crawford, Jarrod",1,0,0,0,0,0,1,0,0
"Meunier, David",0,0,0,0,0,0,1,0,1
"Dixon, Nicholette",0,0,0,0,0,0,0,0,1
"Bresk, Carl",0,0,0,0,0,0,0,1,0
"Harris, Jodi",0,0,0,0,0,0,1,0,0
"Geer, Willow",0,0,0,0,0,0,1,0,0
"Buzzington, Ezra",0,0,0,0,0,0,0,0,1
"Hines, Garrett",1,0,0,0,0,0,0,0,0
"Chávez, Luis (II)",0,0,0,0,0,0,1,0,0
"Bahr, Iris",0,0,0,0,1,0,0,0,0
"Bednar, Vanessa",0,0,0,0,0,0,0,0,1
"Qiu, Ming",0,0,0,0,0,0,0,0,1
"May, Lenora",0,0,0,0,0,0,0,0,1
"Glau, Summer",0,0,0,0,1,0,1,1,0
"Lewis, Phill",0,0,0,0,0,0,0,0,1
"Dourif, Brad",1,0,0,0,0,0,0,0,0
"Hillier, Kristin",0,0,0,0,0,0,1,0,0
"Enright, Michael",1,0,0,0,0,0,0,0,0
"Carnegie, Joseph",0,0,1,0,0,0,0,0,0
"Lee, Stan (I)",1,0,0,0,0,0,0,0,0
"Folkerson, Cindy",0,0,0,0,0,0,0,0,1
"Webberley, Melina",0,0,0,0,0,0,0,0,1
"Autry, Jennifer",0,0,0,0,0,0,1,0,0
"Poindexter, Jeris",1,0,0,0,0,0,0,0,0
"Monzon, Christian",0,0,0,0,1,0,0,0,0
"Latcham, Aileen",0,0,1,0,0,0,0,0,0
"Banks, Twyla",0,0,0,0,0,0,0,0,1
"Nash, Stephanie (I)",1,0,0,0,0,0,1,0,0
"Rad, Mike",0,0,0,0,0,0,0,0,1
"Ganus, Paul",0,0,0,0,1,0,0,0,0
"Carter, Kevin (I)",0,0,0,0,0,0,0,0,1
"Powell, Amy (I)",0,0,0,0,0,0,0,0,1
"Porter, Ted (I)",0,0,0,0,1,0,0,0,0
"Prince, Karim",0,0,0,0,0,0,0,0,1
"Stout, Rainy Jo",0,0,0,0,0,0,0,0,1
"Brisbin, David (I)",0,0,0,0,0,0,0,0,1
"Goddard, Drew",0,0,0,0,0,1,0,0,0
"Shah, Mila",0,0,1,0,0,0,0,0,0
"Boothe, Powers",1,0,0,0,0,0,0,0,0
"Patel, Hash",0,0,0,0,1,0,0,0,0
"Wolf, Issac",0,0,0,0,1,0,0,0,0
"Campbell, Caleb (I)",0,0,0,0,1,0,0,0,0
"Hilliard, Katie",1,0,0,0,0,0,0,0,0
"Serrano, Diego (II)",1,0,0,0,0,0,0,0,0
"Roman, Lauren E.",0,0,0,0,0,0,0,0,1
"McCredie, Jeff",0,0,0,0,0,0,0,0,1
"Daniels, Alex (I)",1,0,0,0,0,0,0,0,0
"Adams, Eddie (III)",0,0,0,0,0,0,0,1,0
"Caulfield, Emma",0,0,0,0,0,0,0,0,1
"Grey, Joel",0,0,0,0,0,0,0,0,1
"Paisley, Sonni",0,0,0,0,0,0,0,0,1
"English, Chris (VI)",0,0,1,0,0,0,0,0,0
"Salgado, Marcus",0,0,0,0,0,0,0,0,1
"Szarabajka, Keith",0,0,0,0,0,0,1,0,0
"Barillas, Christian (I)",1,0,0,0,0,0,0,0,0
"Martin, Ed Francis",0,0,0,0,0,0,0,0,1
"Ward, Zack (I)",0,0,0,0,1,0,0,0,0
"Lanston, Jude",1,0,0,0,0,0,0,0,0
"Matthys, Michael",0,0,0,0,0,0,0,0,1
"Bethune, Patricia",0,0,0,0,0,0,1,0,1
"Ferguson, Sharon (I)",0,0,0,0,0,0,0,0,1
"Dippold, Heidi",0,0,0,0,0,0,1,0,0
"Shepard, Dakota (I)",0,1,0,0,0,0,0,0,0
"Stoverink, Fred",0,1,0,0,0,0,0,0,0
"Larrymore Kelly, Rae'Ven",0,0,0,0,0,0,0,0,1
"Almquist, Viking (I)",1,0,0,0,0,0,0,0,0
"Fury, David (I)",0,0,1,0,0,1,1,0,1
"Sanchez, Paul (II)",1,0,0,0,0,0,0,0,0
"Harpster, Noah",0,0,0,0,1,0,0,0,0
"Otto, Rick (I)",1,0,0,0,1,0,0,0,0
Dobber,0,0,0,0,1,0,0,0,0
"Vito, Robert",0,0,0,0,0,0,0,0,1
"Reina, Lauren",0,0,0,0,0,0,1,0,0
"Coney, Crystal",1,0,0,0,0,0,0,0,0
"Nisa, Katie",0,0,0,0,1,0,0,0,0
"Cole, Kimberly (II)",0,0,0,0,1,0,0,0,0
"Aufranc, Kaarina",0,0,0,0,0,0,0,0,1
"Connor, James M.",0,0,0,0,0,0,0,0,1
"Dunn, John (I)",0,0,0,0,0,0,0,1,0
"Haines, Wendy (I)",0,0,0,0,0,0,1,0,0
"Iyer, Kris",0,0,0,0,0,0,0,0,1
"Ishibashi, Marina",0,0,0,1,0,0,0,0,0
"Pack, Cathy",0,0,1,0,0,0,0,0,0
"Weaver, Sigourney",0,0,0,1,0,0,0,0,0
"DeArmitt, Jenny",0,0,1,0,0,0,0,0,0
"Coulouras, Christopher",0,1,0,0,0,0,0,0,0
"Milicevic, Ivana",0,0,0,0,0,0,0,0,1
"Laresca, Vincent",1,0,0,0,1,0,0,0,0
"Skipper, Pat",0,0,0,0,0,0,0,0,1
"Staite, Jewel",0,0,0,0,0,0,0,1,0
"Cuprill, Bryan",0,0,0,0,0,0,0,0,1
"Breen, Patrick (I)",0,0,0,0,0,0,1,0,0
"Jones, Lori Morkunas",1,0,0,0,0,0,0,0,0
"Gray, John J.",0,0,0,0,0,0,1,0,0
"Cowdery, Josh (I)",1,0,0,0,0,0,0,0,0
"Garnett, Shannon",1,0,0,0,0,0,0,0,0
"Bryant, Clara",0,0,0,0,0,0,0,0,1
"Bailey, Tom (II)",0,0,0,0,0,0,0,0,1
"Leps, Christopher",0,0,0,0,0,0,1,0,1
"Rieck, Billy",0,0,0,0,0,0,1,0,0
"Davis, Giulia",0,0,1,0,0,0,0,0,0
"Abernathy, Donzaleigh",1,0,0,0,0,0,0,0,0
"Grover, Micki",0,0,1,0,0,0,0,0,0
"Spiro, Jordana",0,0,0,0,0,0,0,0,1
"Burrs, Marcia Ann",0,0,0,0,0,0,0,0,1
"James, Jesse (I)",0,0,0,0,0,0,1,0,0
"Flax, Phyllis",0,0,0,0,0,0,1,0,0
"Welles, Shannon (I)",0,0,0,0,0,0,1,0,1
"Yama, Michael",0,0,0,0,0,0,1,0,0
"Pidgeon, Simon",0,0,0,1,0,0,0,0,0
"Tung, Jennifer",0,0,0,0,0,0,1,0,0
"Tupen, Jake",0,0,0,0,0,0,1,0,0
"Dolan, Robert (II)",0,0,0,0,0,0,1,0,0
"Horsdal, Chelah",0,0,0,1,0,0,0,0,0
"Sachoff, Dan (I)",1,0,0,0,0,0,0,0,0
"Bates, Emma (I)",0,0,1,0,0,0,0,0,0
"Huse, Chris",0,0,0,0,0,0,1,0,0
"Head, Anthony",0,0,0,0,0,0,0,0,1
"Crouse, Lindsay",0,0,0,0,0,0,0,0,1
"Garemani, Kristen",0,0,1,0,0,0,0,0,0
"McElligott, Sarah",0,0,0,0,1,0,0,0,0
"Mulvihill, Sandy",0,0,0,0,0,0,0,1,0
"Shimizu, Kae",0,0,0,0,1,0,0,0,0
"Gallegos, Reynaldo",0,0,0,0,0,0,1,0,0
"Strong, Danny",0,0,0,0,0,0,0,0,1
"Morrissey, Roger W.",0,0,0,0,0,0,0,0,1
"Vincent, Christian (II)",0,0,0,0,0,0,0,0,1
"Carrara, Leslie",0,0,0,0,0,0,1,0,0
"Hutchinson, Josh (I)",0,0,0,0,0,0,1,0,0
"Honda, Yuka (I)",0,0,0,0,0,0,0,0,1
"Landson, Joel",0,0,1,0,0,0,0,0,0
"Dougherty, Steven",0,1,0,0,0,0,0,0,0
"Dean, Jeffrey Patrick",0,0,0,0,0,0,1,0,0
"Fischler, Patrick",0,0,0,0,0,0,1,0,0
"Bishop, Meredith (I)",1,0,0,0,0,0,0,0,0
"Lang, Matthew (I)",0,0,0,0,0,0,0,0,1
"Kane, Brad (I)",0,0,0,0,0,0,0,0,1
"Paxton, Bill",1,0,0,0,0,0,0,0,0
"Denman, Tony",0,0,0,0,0,0,1,0,0
"Adam, Omar (I)",0,0,0,0,1,0,0,0,0
"Hall, Jason (I)",0,0,0,0,0,0,0,0,1
"Noble, Robert (I)",0,0,0,0,0,0,0,0,1
"Grant, Beth",0,0,0,0,0,0,1,0,0
"Emery, Denise",0,0,0,0,0,0,0,0,1
"Kalik, Antal",1,0,0,0,0,0,0,0,0
"Wesley, Charles (I)",0,0,0,0,0,0,0,0,1
"Kempe, Will",0,0,0,0,0,0,1,0,0
"Christopher, Jason (I)",0,0,0,0,0,0,0,0,1
"Bergen, Tushka",0,0,0,0,0,0,1,0,0
"Gurney, Scott",0,0,0,0,0,0,0,0,1
"Kelly, Connor (I)",0,0,0,0,0,0,1,0,0
"Almeida, Enrique",0,0,0,0,0,0,0,0,1
"Kwok, Miranda",0,0,0,0,0,0,0,0,1
"Fairman, Michael (I)",0,0,0,0,0,0,0,1,0
"McVey, Kara",0,0,1,0,0,0,0,0,0
"McIntyre, Byron",1,0,0,0,0,0,0,0,0
"Keeslar, Matt",0,0,0,0,1,0,0,0,0
"Trela, Riley",0,0,1,0,0,0,0,0,0
"Shirley, Adam James",0,0,1,0,0,0,0,0,0
"McGee, Kane",0,0,0,0,0,0,0,0,1
"Medina, Roberto (I)",1,0,0,0,0,0,0,0,0
"Ginther, Mark (I)",0,0,0,0,0,0,1,0,1
"Vanegas, T. Miguel",0,0,1,0,0,0,0,0,0
"Marasco, Ron",0,0,0,0,0,0,1,0,0
"Logan, Paul (I)",0,0,0,0,0,0,1,0,0
"Jansen, David A.",1,0,0,0,0,0,0,0,0
"Bliss, Honor",0,0,0,0,0,0,1,0,0
"White, John Patrick",0,0,0,0,0,0,0,0,1
"Reid, Michael Earl",0,0,0,0,0,0,0,0,1
"Parks, Andrew (I)",0,0,0,0,0,0,1,0,0
"Caple, Ashley",1,0,0,0,0,0,0,0,0
"Hahn, Jacqueline",0,0,0,0,0,0,1,0,0
"Jennings, Juanita",0,0,0,0,0,0,0,0,1
"Wasser, Alexi",1,0,0,0,0,0,0,0,0
"Belushi, Robert",1,0,0,0,0,0,0,0,0
"Morgan, Judson Pearce",0,0,0,0,0,0,1,0,0
"Kettner, Carla",0,0,1,0,0,0,0,0,0
"Herlinger, Karl (II)",0,0,0,0,1,0,0,0,0
"Betts, Erik",0,0,0,0,0,0,1,0,1
"Virtue, Tom (I)",0,0,0,0,0,0,0,1,0
"Hack, Steven",0,0,0,0,0,0,1,0,0
"Summers, Steve (IV)",0,0,0,0,0,0,0,0,1
"Lynch, Colin Patrick",0,0,0,0,0,0,1,1,0
"Choi, Tom",0,1,0,0,0,0,0,0,0
"Levy, Hila",0,0,0,0,0,0,0,0,1
"Lane Jr., Teddy",0,0,0,0,0,0,0,0,1
"Chambers, Marie (II)",0,0,0,0,0,0,1,0,0
"Cooper, Abby (I)",0,0,0,0,1,0,0,0,0
"Holloman, Laurel",0,0,0,0,0,0,1,0,0
"Cockrum, Dennis",0,0,0,0,0,0,0,1,0
"Townsend, Jessica (I)",0,0,0,0,0,0,0,0,1
"Moore, Ryan (L)",0,0,1,0,0,0,0,0,0
"Notary, Terry",0,0,0,1,0,0,0,0,0
"Mitchell, Cutter",1,0,0,0,0,0,0,0,0
"Moursi, Waleed",0,0,0,0,0,0,1,0,0
"Nagy, Michael",0,0,0,0,0,0,1,1,1
"Baker, Thomas R.",1,0,0,0,0,0,0,0,0
"Pugh, Brian (I)",0,0,0,0,1,0,0,0,0
"Urich, Justin",0,0,0,0,0,0,0,0,1
"Mask, Ace",0,0,0,0,0,0,0,0,1
"Stear, Rick (I)",0,0,0,0,0,0,0,0,1
"Smith, Kelly (VII)",0,0,0,0,0,0,0,0,1
"Silverman, Laura",0,0,0,0,0,0,1,0,1
"Hubbard, Valorie",1,0,0,0,0,0,0,0,0
"Crisp, Tom (I)",1,0,0,0,0,0,0,0,0
"Halsey, Michael",0,0,0,0,0,0,1,0,0
"Ecklund, Jon (I)",0,0,0,0,0,0,1,0,0
"Bell, Coby",0,0,0,0,0,0,0,0,1
"Cohen, Cate",0,0,0,0,0,0,0,1,1
"West, Kevin E.",0,0,0,0,0,0,1,0,0
"Dilio, Anthony",1,0,0,0,0,0,0,0,0
"Goolsby, Landall",1,0,0,0,0,0,0,0,0
"Lombard, Mace",0,0,0,0,0,0,0,0,1
"Kairys, Ted",0,0,0,0,0,0,1,0,0
"Bloom, Brian (I)",0,0,0,0,1,0,0,0,0
"Garemani, Noyan",0,0,1,0,0,0,0,0,0
"Fickes, Ben",0,0,1,0,0,0,0,0,0
"Gross, Arye",0,0,0,0,1,0,0,0,0
"Randolph, Lisa (II)",0,0,1,0,0,0,0,0,0
"Ryan, Tracy (II)",0,0,0,0,0,0,0,1,0
"Neil, Adrian",0,0,0,0,0,0,0,0,1
"Brett, Marc",0,0,0,0,0,0,1,0,0
"Richardson, Mesan",0,0,0,0,0,0,1,0,0
"Henstridge, Elizabeth",1,0,0,0,0,0,0,0,0
"Chon, Arnold (I)",1,0,0,0,0,0,0,0,0
"Power, Dave",0,0,0,0,0,0,0,0,1
"O'Connor, Raymond (I)",0,0,0,0,0,0,0,0,1
"Salenger, Meredith",0,0,0,0,0,0,0,0,1
"Gier, Michael",0,0,0,0,1,0,0,0,0
"Austin, Jeri",0,0,0,0,0,0,0,0,1
"Stone, Rhashan",0,0,0,0,1,0,0,0,0
"Paul, Jarrad",0,0,0,0,0,0,0,0,1
"Aylward, Beth",0,0,0,0,0,0,0,0,1
"Eckles, Chris",0,0,0,0,0,0,1,0,0
"Heames, Darin",0,0,0,0,0,0,0,0,1
"Metz, Rebecca",0,0,0,0,0,0,1,0,0
"O'Leary, John (I)",0,0,0,0,0,0,0,0,1
"Lindsey, Jim (III)",0,0,0,0,1,0,0,0,0
"Vilner, Olga (I)",0,0,0,0,0,0,1,0,0
"Bellucci, John (I)",0,0,0,0,0,0,0,0,1
"Powers, Ryan (III)",1,0,0,0,0,0,0,0,0
"Bishop, Loanne",0,0,0,0,0,0,0,0,1
"Rostedt, Trenton",1,0,0,0,0,0,0,0,0
"Rosales Jr., Thomas",0,0,0,0,0,0,1,0,0
"Leslie, Susan (I)",0,0,0,0,0,0,0,0,1
"DeCastro, Steve",1,0,0,0,0,0,0,0,0
"Mont, Robert (I)",0,0,0,0,0,0,0,0,1
"Embry, Amelinda",0,0,0,0,0,0,0,0,1
"Larcom, Trevor",1,0,0,0,0,0,0,0,0
"Dryer, Fred (I)",1,0,0,0,0,0,0,0,0
"Hermes, Ben",0,0,0,0,1,0,0,0,0
"Gray, David Barry",0,0,0,0,1,0,0,0,0
"Pickell, Tripp",0,0,0,0,0,0,1,0,0
"Garcia-Kelleher, Victoria",0,0,0,0,0,0,1,0,0
"Perez, Mario (II)",1,0,0,0,0,0,0,0,0
"Kocher, Nick",0,0,1,0,0,0,0,0,0
"Pugliese, Al",0,0,0,0,0,0,0,1,0
"Skyler, Tristine",0,0,0,0,0,0,1,0,0
"Scowley, Stacey",0,0,0,0,1,0,0,0,1
"Boyd, Potsch",1,0,0,0,0,0,0,0,0
"Howard, Joe (I)",0,0,0,0,1,0,0,0,1
"Helberg, Simon",0,0,0,0,0,1,0,0,0
"Smith, Caleb (XVIII)",1,0,0,0,0,0,0,0,0
"Silver, Michael J.",1,0,0,0,0,0,0,0,0
"Borden, Rainbow",0,0,0,0,0,0,1,0,0
"Yenque, Jose",0,0,0,0,0,0,1,0,0
"Brendon, Nicholas",0,0,0,0,0,0,0,0,1
"Rosas, Louis E.",0,0,0,0,0,0,1,0,1
"Ziegler, Susan",0,0,0,0,1,0,0,0,0
"McNeil, Timothy",0,0,0,0,0,0,1,0,0
"Sabbah, Sam",0,0,0,0,1,0,0,0,0
"Oliver, Karim",0,0,0,0,0,0,0,0,1
"Maynard, Jeff (I)",0,0,0,0,0,0,0,0,1
"Marrero Jr., Albert",1,0,0,0,0,0,0,0,0
"Collins, Greg (II)",0,0,0,0,1,0,1,0,0
"Brenna, Troy",0,0,0,0,0,0,0,0,1
"Nelson, Mike C.",1,0,0,0,0,0,0,0,0
"Kapelos, John",0,0,0,0,0,0,1,0,0
"Cruz, Valerie",0,0,0,0,1,0,0,0,0
"Malicki-Sánchez, Keram",0,0,0,0,0,0,0,0,1
"Kasule, Geoffrey",0,0,0,0,0,0,0,0,1
"Sweeney, Warren",0,0,0,0,1,0,0,0,0
"Dion, April",0,0,0,0,0,0,0,0,1
"Cherney, Darrel",1,0,0,0,0,0,0,0,0
"Malley, Cairin",0,0,1,0,0,0,0,0,0
"Phillips, Derek (III)",1,0,0,0,0,0,0,0,0
"Smith Jr., Cornelius",1,0,0,0,0,0,0,0,0
"Mollen, Jenny",0,0,0,0,0,0,1,0,0
"Martino, Karen Ann",0,1,0,0,0,0,0,0,0
"Rose, Marc (I)",0,0,0,0,0,0,1,0,1
"LeBrun, Al",0,0,0,0,0,0,1,0,0
"Landon, Aaron",1,0,0,0,0,0,0,0,0
"Manasseri, Michael",0,0,0,0,0,0,0,0,1
"Drake, Larry (I)",0,0,0,0,0,0,0,1,0
"Von Johnson, Sandra",0,0,0,0,0,0,0,0,1
"Donovan, Scott (I)",0,0,0,0,0,0,1,0,0
"Volok, Ilia",1,0,0,0,0,0,0,1,0
"Burgess, Dominic (I)",1,0,0,0,0,0,0,0,0
"Porter, Steven M.",0,0,0,0,0,0,0,0,1
"Sloviter, Becky",0,0,1,0,0,0,0,0,0
"Bryant, Molly (I)",0,0,0,0,0,0,0,0,1
Loki (IV),1,0,0,0,0,0,0,0,0
"Hager, Tim",0,0,0,0,0,0,0,0,1
"Black, Heather (II)",0,0,0,0,0,1,0,0,0
"Fimiani, Bob",0,0,0,0,0,0,1,1,1
"Powers, Amanda (III)",0,0,1,0,0,0,0,0,0
"Devlin, Sara",0,0,0,0,0,0,1,0,0
"Smulders, Cobie",1,0,0,0,0,0,0,0,0
"Jacott, Carlos",0,0,0,0,0,0,1,1,1
"Norby, Kate",0,0,0,0,0,0,1,0,0
"Wharton, Richard (I)",0,0,0,0,0,0,0,0,1
"Limon, Iyari (I)",0,0,0,0,0,0,0,0,1
"Nelson, Micah (III)",1,0,0,0,0,0,0,0,0
"Creek, Jayson",0,0,0,0,0,0,1,0,0
"Vassey, Liz",0,0,0,0,0,1,0,0,0
"Koruba, Matt",0,0,0,0,0,0,0,0,1
"Erickson, Chad (I)",0,0,0,0,0,0,0,0,1
"Gregory, Ian (I)",1,0,0,0,0,0,0,0,0
"Roberts, Burke (I)",0,0,0,0,0,0,0,0,1
"Hawley, Brian (II)",0,0,0,0,0,0,0,0,1
"Denton, Jeff",0,0,0,0,0,0,1,0,1
"Kokich, Nick (I)",0,0,0,0,0,0,0,0,1
"May, Christopher (I)",0,0,0,0,0,0,0,0,1
"Heitz, Alan",0,0,0,0,0,0,0,0,1
"Schmid, Tom",0,0,0,0,0,0,1,0,0
"Szonert, Eliza",0,0,0,0,0,0,1,0,0
"Yount, Dell",0,0,0,0,0,0,0,0,1
"Black, Lisa Rae",0,0,0,0,0,0,0,0,1
"LaFleur, Art",0,0,0,0,0,0,1,0,0
"Petrie, Sarah (II)",0,0,1,0,0,0,0,0,0
"Howard, Rance (I)",0,0,0,0,0,0,1,0,0
"Walters, Patrice",0,0,0,0,0,0,0,0,1
"Ahmad, Mueen Jahan",0,0,0,0,0,0,0,0,1
"Massa, Mike (I)",0,0,0,0,1,0,0,0,0
"Martin, Chris William",0,0,0,0,1,0,0,0,0
"Pratt, Sharon",0,0,0,0,0,0,0,0,1
"Kane, Christian",0,0,0,0,0,0,1,0,0
"Raith, Hans (I)",0,0,0,0,0,0,1,0,0
"Rota, Carlo (I)",1,0,0,0,0,0,0,0,0
"Hertzberg, George",0,0,0,0,0,0,0,0,1
"Garcia, Aimee",0,0,0,0,0,0,1,0,0
"Armand, Pascale",1,0,0,0,0,0,0,0,0
"Sagastizado I, Tony",0,0,0,0,0,0,1,0,0
"Hagerty, Mike (I)",0,0,0,0,0,0,1,0,0
"Beasor, Terrence",0,0,0,0,0,0,1,0,0
"Rothhaar, Michael",0,0,0,0,0,0,0,0,1
"Madrid, Robert (I)",0,0,0,0,0,0,1,0,0
"Christopher, Dennis (I)",0,0,0,0,0,0,1,0,0
"Woodlee, Zachary",0,0,0,0,0,0,0,0,1
"Giovinazzo, Carmine",0,0,0,0,0,0,0,0,1
"Pierce, Kyle David",1,0,0,0,0,0,0,0,0
"Manoux, J.P.",0,0,0,0,0,0,1,0,0
"Warren, Michael (I)",0,0,0,0,0,0,0,0,1
"Page, Greg (XV)",0,0,1,0,0,0,0,0,0
"Beatty, Richard (I)",0,0,0,0,0,0,0,0,1
"Rice, Daren",0,0,0,0,0,0,1,0,0
"Hisoler, Ben",0,0,0,0,0,0,0,0,1
"Millar, W. Robert",0,0,1,0,0,0,0,0,0
Keli'l,0,0,0,0,0,0,1,0,0
"Maize, Michael (I)",0,0,0,0,0,0,1,0,0
"Inoue, Eiji (I)",0,0,0,0,0,0,1,0,0
"Klimecko, Stan (I)",0,0,0,0,0,0,1,0,0
"Parks, Sean",0,0,1,0,0,0,0,0,0
"West, Shane (I)",0,0,0,0,0,0,0,0,1
"Sikora, Joseph (I)",0,0,0,0,1,0,0,0,0
